Common Name,Scientific Name,Max Size (cm),Temperament,Water Type,Temperature Range (°C),pH Range,Habitat Type,Social Behavior,Tank Level,Minimum Tank Size (L),Compatibility Notes,Diet,Lifespan,Care Level,Preferred Food,Feeding Frequency
Neon Tetra,Paracheirodon innesi,4,Peaceful,Freshwater,20-26,6.0-7.0,Streams,Schooling,Mid,38,"Best in groups, avoid large or aggressive tankmates",Omnivore,5-10 years,Easy,"Small pellets, brine shrimp",1-2 times daily
Cardinal Tetra,Paracheirodon axelrodi,7,Peaceful,Freshwater,24-30,5.5-7.5,Blackwater streams,Schooling,Mid,19,"Best in groups of 6+, compatible with most peaceful fish",Omnivore,4-5 years,Moderate,"Flake food, bloodworms",1-2 times daily
Betta,Betta splendens,11,Aggressive,Freshwater,24-27,6.0-7.5,Slow-moving waters,Territorial,All,75,Keep alone or with peaceful bottom dwellers,Carnivore,3-5 years,Moderate,"Pellets, live insects",1-2 times daily
Angelfish,Pterophyllum scalare,15,Semi-aggressive,Freshwater,24-28,6.0-7.5,Amazon rivers,Pairs/Small groups,Mid to Top,80,Compatible with mid to large peaceful fish,Omnivore,10-12 years,Moderate,"Live food, flakes",1-2 times daily
Discus,Symphysodon aequifasciatus,20,Peaceful,Freshwater,28-30,6.0-7.0,Amazon rivers,Shoaling,Mid,114,"Keep with other peaceful fish, sensitive to water quality",Omnivore,10-15 years,Expert,"Beef heart, bloodworms",2-3 times daily
Guppy,Poecilia reticulata,6,Peaceful,Freshwater,22-28,7.0-8.0,Streams and ponds,Shoaling,All,20,"Good community fish, avoid fin nippers",Omnivore,2-3 years,Easy,"Vegetable flakes, brine shrimp",1-2 times daily
Platy,Xiphophorus maculatus,7,Peaceful,Freshwater,22-28,7.0-8.2,Slow-moving streams,Shoaling,All,20,"Good community fish, peaceful",Omnivore,3-5 years,Easy,"Flake food, spirulina",1-2 times daily
Molly,Poecilia sphenops,10,Peaceful,Freshwater,24-28,7.5-8.5,Brackish streams,Shoaling,All,30,"Peaceful, prefers hard water",Omnivore,3-5 years,Easy,"Algae, vegetable tablets",1-2 times daily
Swordtail,Xiphophorus hellerii,14,Semi-aggressive,Freshwater,22-28,7.0-8.0,Fast-flowing streams,Small groups,Mid to Top,40,Males can be territorial with each other,Omnivore,4-5 years,Easy,"Live foods, flakes",1-2 times daily
Zebra Danio,Danio rerio,5,Peaceful,Freshwater,18-24,6.5-7.5,Streams,Schooling,Top,36,"Active swimmers, best in groups of 6+",Omnivore,5 years,Easy,"Flakes, small live foods",1-2 times daily
Corydoras Catfish,Corydoras paleatus,7,Peaceful,Freshwater,20-26,6.0-7.5,Sandy bottoms,Schooling,Bottom,37,"Peaceful bottom dwellers, best in groups",Omnivore,5 years,Easy,"Sinking pellets, worms",1-2 times daily
Bristlenose Pleco,Ancistrus cirrhosus,15,Peaceful,Freshwater,22-26,6.0-7.5,Rivers,Solitary,Bottom,80,"Peaceful, good algae eater",Algaevore,5-7 years,Easy,"Algae, sinking pellets",1 time daily
Oscar,Astronotus ocellatus,35,Aggressive,Freshwater,22-28,6.0-7.5,Amazon rivers,Territorial,Mid to Top,250,Keep with similar sized fish only,Carnivore,10-12 years,Moderate,"Live fish, pellets",Once daily
Convict Cichlid,Amatitlania nigrofasciata,15,Aggressive,Freshwater,22-28,6.5-8.0,Rocky areas,Territorial,All,80,"Territorial, especially when breeding",Omnivore,8-10 years,Moderate,"Flakes, live food",1-2 times daily
Electric Blue Ram,Mikrogeophagus ramirezi,7,Peaceful,Freshwater,26-30,5.0-7.0,Slow-moving rivers,Pairs,Bottom to Mid,40,"Peaceful, but sensitive to water parameters",Omnivore,4 years,Difficult,Frozen or live foods,2-3 times daily
